Date,Country,AreaCode,Area,TotalCases
2020-03-29,England,E06000001,Hartlepool,11
2020-03-29,England,E06000002,Middlesbrough,26
2020-03-29,England,E06000003,Redcar and Cleveland,25
2020-03-29,England,E06000004,Stockton-on-Tees,34
2020-03-29,England,E06000005,Darlington,15
2020-03-29,England,E06000006,Halton,16
2020-03-29,England,E06000007,Warrington,21
2020-03-29,England,E06000008,Blackburn with Darwen,12
2020-03-29,England,E06000009,Blackpool,10
2020-03-29,England,E06000010,"Kingston upon Hull, City of",9
2020-03-29,England,E06000011,East Riding of Yorkshire,31
2020-03-29,England,E06000012,North East Lincolnshire,16
2020-03-29,England,E06000013,North Lincolnshire,13
2020-03-29,England,E06000014,York,21
2020-03-29,England,E06000015,Derby,105
2020-03-29,England,E06000016,Leicester,65
2020-03-29,England,E06000017,Rutland,2
2020-03-29,England,E06000018,Nottingham,97
2020-03-29,England,E06000019,"Herefordshire, County of",25
2020-03-29,England,E06000020,Telford and Wrekin,34
2020-03-29,England,E06000021,Stoke-on-Trent,28
2020-03-29,England,E06000022,Bath and North East Somerset,36
2020-03-29,England,E06000023,"Bristol, City of",78
2020-03-29,England,E06000024,North Somerset,32
2020-03-29,England,E06000025,South Gloucestershire,53
2020-03-29,England,E06000026,Plymouth,42
2020-03-29,England,E06000027,Torbay,30
2020-03-29,England,E06000030,Swindon,26
2020-03-29,England,E06000031,Peterborough,21
2020-03-29,England,E06000032,Luton,63
2020-03-29,England,E06000033,Southend-on-Sea,24
2020-03-29,England,E06000034,Thurrock,37
2020-03-29,England,E06000035,Medway,57
2020-03-29,England,E06000036,Bracknell Forest,19
2020-03-29,England,E06000037,West Berkshire,40
2020-03-29,England,E06000038,Reading,27
2020-03-29,England,E06000039,Slough,73
2020-03-29,England,E06000040,Windsor and Maidenhead,48
2020-03-29,England,E06000041,Wokingham,23
2020-03-29,England,E06000042,Milton Keynes,82
2020-03-29,England,E06000043,Brighton and Hove,33
2020-03-29,England,E06000044,Portsmouth,70
2020-03-29,England,E06000045,Southampton,43
2020-03-29,England,E06000046,Isle of Wight,10
2020-03-29,England,E06000047,County Durham,81
2020-03-29,England,E06000049,Cheshire East,54
2020-03-29,England,E06000050,Cheshire West and Chester,34
2020-03-29,England,E06000051,Shropshire,67
2020-03-29,England,E06000052,Cornwall and Isles of Scilly,64
2020-03-29,England,E06000054,Wiltshire,67
2020-03-29,England,E06000055,Bedford,32
2020-03-29,England,E06000056,Central Bedfordshire,56
2020-03-29,England,E06000057,Northumberland,61
2020-03-29,England,E06000058,"Bournemouth, Christchurch and Poole",34
2020-03-29,England,E06000059,Dorset,36
2020-03-29,England,E08000001,Bolton,42
2020-03-29,England,E08000002,Bury,55
2020-03-29,England,E08000003,Manchester,91
2020-03-29,England,E08000004,Oldham,82
2020-03-29,England,E08000005,Rochdale,65
2020-03-29,England,E08000006,Salford,92
2020-03-29,England,E08000007,Stockport,79
2020-03-29,England,E08000008,Tameside,58
2020-03-29,England,E08000009,Trafford,77
2020-03-29,England,E08000010,Wigan,39
2020-03-29,England,E08000011,Knowsley,26
2020-03-29,England,E08000012,Liverpool,157
2020-03-29,England,E08000013,St. Helens,39
2020-03-29,England,E08000014,Sefton,45
2020-03-29,England,E08000015,Wirral,44
2020-03-29,England,E08000016,Barnsley,70
2020-03-29,England,E08000017,Doncaster,44
2020-03-29,England,E08000018,Rotherham,60
2020-03-29,England,E08000019,Sheffield,387
2020-03-29,England,E08000021,Newcastle upon Tyne,155
2020-03-29,England,E08000022,North Tyneside,62
2020-03-29,England,E08000023,South Tyneside,27
2020-03-29,England,E08000024,Sunderland,76
2020-03-29,England,E08000025,Birmingham,513
2020-03-29,England,E08000026,Coventry,79
2020-03-29,England,E08000027,Dudley,122
2020-03-29,England,E08000028,Sandwell,138
2020-03-29,England,E08000029,Solihull,74
2020-03-29,England,E08000030,Walsall,125
2020-03-29,England,E08000031,Wolverhampton,153
2020-03-29,England,E08000032,Bradford,46
2020-03-29,England,E08000033,Calderdale,29
2020-03-29,England,E08000034,Kirklees,60
2020-03-29,England,E08000035,Leeds,113
2020-03-29,England,E08000036,Wakefield,54
2020-03-29,England,E08000037,Gateshead,44
2020-03-29,England,E09000002,Barking and Dagenham,100
2020-03-29,England,E09000003,Barnet,119
2020-03-29,England,E09000004,Bexley,119
2020-03-29,England,E09000005,Brent,321
2020-03-29,England,E09000006,Bromley,268
2020-03-29,England,E09000007,Camden,119
2020-03-29,England,E09000008,Croydon,289
2020-03-29,England,E09000009,Ealing,265
2020-03-29,England,E09000010,Enfield,151
2020-03-29,England,E09000011,Greenwich,168
2020-03-29,England,E09000012,Hackney and City of London,177
2020-03-29,England,E09000013,Hammersmith and Fulham,144
2020-03-29,England,E09000014,Haringey,141
2020-03-29,England,E09000015,Harrow,251
2020-03-29,England,E09000016,Havering,105
2020-03-29,England,E09000017,Hillingdon,163
2020-03-29,England,E09000018,Hounslow,152
2020-03-29,England,E09000019,Islington,141
2020-03-29,England,E09000020,Kensington and Chelsea,141
2020-03-29,England,E09000021,Kingston upon Thames,82
2020-03-29,England,E09000022,Lambeth,358
2020-03-29,England,E09000023,Lewisham,218
2020-03-29,England,E09000024,Merton,161
2020-03-29,England,E09000025,Newham,230
2020-03-29,England,E09000026,Redbridge,143
2020-03-29,England,E09000027,Richmond upon Thames,94
2020-03-29,England,E09000028,Southwark,365
2020-03-29,England,E09000029,Sutton,93
2020-03-29,England,E09000030,Tower Hamlets,184
2020-03-29,England,E09000031,Waltham Forest,182
2020-03-29,England,E09000032,Wandsworth,287
2020-03-29,England,E09000033,Westminster,226
2020-03-29,England,E10000002,Buckinghamshire,128
2020-03-29,England,E10000003,Cambridgeshire,100
2020-03-29,England,E10000006,Cumbria,292
2020-03-29,England,E10000007,Derbyshire,210
2020-03-29,England,E10000008,Devon,91
2020-03-29,England,E10000011,East Sussex,44
2020-03-29,England,E10000012,Essex,244
2020-03-29,England,E10000013,Gloucestershire,107
2020-03-29,England,E10000014,Hampshire,432
2020-03-29,England,E10000015,Hertfordshire,282
2020-03-29,England,E10000016,Kent,253
2020-03-29,England,E10000017,Lancashire,231
2020-03-29,England,E10000018,Leicestershire,141
2020-03-29,England,E10000019,Lincolnshire,72
2020-03-29,England,E10000020,Norfolk,107
2020-03-29,England,E10000021,Northamptonshire,126
2020-03-29,England,E10000023,North Yorkshire,88
2020-03-29,England,E10000024,Nottinghamshire,193
2020-03-29,England,E10000025,Oxfordshire,140
2020-03-29,England,E10000027,Somerset,36
2020-03-29,England,E10000028,Staffordshire,212
