Date,Country,AreaCode,Area,TotalCases
2020-04-16,Northern Ireland,N09000001,Antrim and Newtownabbey,156
2020-04-16,Northern Ireland,N09000011,North Down and Ards,157
2020-04-16,Northern Ireland,N09000002,"Armagh, Banbridge and Craigavon",246
2020-04-16,Northern Ireland,N09000003,Belfast,689
2020-04-16,Northern Ireland,N09000004,Causeway Coast and Glens,103
2020-04-16,Northern Ireland,N09000005,Derry and Strabane,144
2020-04-16,Northern Ireland,N09000006,Fermanagh and Omagh,61
2020-04-16,Northern Ireland,N09000007,Lisburn and Castlereagh,232
2020-04-16,Northern Ireland,N09000008,Mid and East Antrim,144
2020-04-16,Northern Ireland,N09000009,Mid Ulster,111
2020-04-16,Northern Ireland,N09000010,"Newry, Mourne and Down",132
2020-04-16,Northern Ireland,,Unknown,26
