Date,Country,AreaCode,Area,TotalCases
2020-03-30,Northern Ireland,N09000001,Antrim and Newtownabbey,34
2020-03-30,Northern Ireland,N09000002,"Armagh, Banbridge and Craigavon",53
2020-03-30,Northern Ireland,N09000003,Belfast,160
2020-03-30,Northern Ireland,N09000004,Causeway Coast and Glens,11
2020-03-30,Northern Ireland,N09000005,Derry and Strabane,23
2020-03-30,Northern Ireland,N09000006,Fermanagh and Omagh,27
2020-03-30,Northern Ireland,N09000007,Lisburn and Castlereagh,66
2020-03-30,Northern Ireland,N09000008,Mid and East Antrim,28
2020-03-30,Northern Ireland,N09000009,Mid Ulster,16
2020-03-30,Northern Ireland,N09000010,"Newry, Mourne and Down",41
2020-03-30,Northern Ireland,N09000011,North Down and Ards,52
2020-03-30,Northern Ireland,,Unknown,22
