Date,Country,AreaCode,Area,TotalCases
2020-03-20,Wales,,To be confirmed,1
2020-03-20,Wales,,Resident outside Wales,2
2020-03-20,Wales,W06000012,Neath Port Talbot,15
2020-03-20,Wales,W06000011,Swansea,19
2020-03-20,Wales,W06000019,Blaenau Gwent,11
2020-03-20,Wales,W06000018,Caerphilly,23
2020-03-20,Wales,W06000021,Monmouthshire,15
2020-03-20,Wales,W06000022,Newport,38
2020-03-20,Wales,W06000020,Torfaen,5
2020-03-20,Wales,W06000003,Conwy,1
2020-03-20,Wales,W06000004,Denbighshire,0
2020-03-20,Wales,W06000005,Flintshire,1
2020-03-20,Wales,W06000002,Gwynedd,1
2020-03-20,Wales,W06000001,Isle of Anglesey,2
2020-03-20,Wales,W06000006,Wrexham,2
2020-03-20,Wales,W06000015,Cardiff,28
2020-03-20,Wales,W06000014,Vale of Glamorgan,1
2020-03-20,Wales,W06000013,Bridgend,3
2020-03-20,Wales,W06000016,Rhondda Cynon Taf,2
2020-03-20,Wales,W06000024,Merthyr Tydfil,2
2020-03-20,Wales,W06000010,Carmarthenshire,8
2020-03-20,Wales,W06000008,Ceredigion,1
2020-03-20,Wales,W06000009,Pembrokeshire,2
2020-03-20,Wales,W06000023,Powys,8
