Date,Country,AreaCode,Area,TotalCases
2020-04-20,England,E09000002,Barking and Dagenham,398
2020-04-20,England,E09000003,Barnet,1081
2020-04-20,England,E08000016,Barnsley,458
2020-04-20,England,E06000022,Bath and North East Somerset,172
2020-04-20,England,E06000055,Bedford,326
2020-04-20,England,E09000004,Bexley,513
2020-04-20,England,E08000025,Birmingham,2310
2020-04-20,England,E06000008,Blackburn with Darwen,231
2020-04-20,England,E06000009,Blackpool,245
2020-04-20,England,E08000001,Bolton,559
2020-04-20,England,E06000058,"Bournemouth, Christchurch and Poole",312
2020-04-20,England,E06000036,Bracknell Forest,156
2020-04-20,England,E08000032,Bradford,571
2020-04-20,England,E09000005,Brent,1206
2020-04-20,England,E06000043,Brighton and Hove,305
2020-04-20,England,E06000023,"Bristol, City of",469
2020-04-20,England,E09000006,Bromley,905
2020-04-20,England,E10000002,Buckinghamshire,625
2020-04-20,England,E08000002,Bury,335
2020-04-20,England,E08000033,Calderdale,190
2020-04-20,England,E10000003,Cambridgeshire,530
2020-04-20,England,E09000007,Camden,504
2020-04-20,England,E06000056,Central Bedfordshire,372
2020-04-20,England,E06000049,Cheshire East,604
2020-04-20,England,E06000050,Cheshire West and Chester,575
2020-04-20,England,E09000001,City of London,13
2020-04-20,England,E06000052,Cornwall and Isles of Scilly,400
2020-04-20,England,E06000047,County Durham,944
2020-04-20,England,E08000026,Coventry,515
2020-04-20,England,E09000008,Croydon,1187
2020-04-20,England,E10000006,Cumbria,1496
2020-04-20,England,E06000005,Darlington,187
2020-04-20,England,E06000015,Derby,405
2020-04-20,England,E10000007,Derbyshire,931
2020-04-20,England,E10000008,Devon,543
2020-04-20,England,E08000017,Doncaster,266
2020-04-20,England,E06000059,Dorset,252
2020-04-20,England,E08000027,Dudley,586
2020-04-20,England,E09000009,Ealing,919
2020-04-20,England,E06000011,East Riding of Yorkshire,337
2020-04-20,England,E10000011,East Sussex,449
2020-04-20,England,E09000010,Enfield,693
2020-04-20,England,E10000012,Essex,1892
2020-04-20,England,E08000037,Gateshead,585
2020-04-20,England,E10000013,Gloucestershire,934
2020-04-20,England,E09000011,Greenwich,564
2020-04-20,England,E09000012,Hackney,555
2020-04-20,England,E06000006,Halton,263
2020-04-20,England,E09000013,Hammersmith and Fulham,482
2020-04-20,England,E10000014,Hampshire,2159
2020-04-20,England,E09000014,Haringey,487
2020-04-20,England,E09000015,Harrow,770
2020-04-20,England,E06000001,Hartlepool,89
2020-04-20,England,E09000016,Havering,555
2020-04-20,England,E06000019,"Herefordshire, County of",149
2020-04-20,England,E10000015,Hertfordshire,1864
2020-04-20,England,E09000017,Hillingdon,623
2020-04-20,England,E09000018,Hounslow,567
2020-04-20,England,E06000046,Isle of Wight,69
2020-04-20,England,E09000019,Islington,373
2020-04-20,England,E09000020,Kensington and Chelsea,412
2020-04-20,England,E10000016,Kent,2402
2020-04-20,England,E06000010,"Kingston upon Hull, City of",258
2020-04-20,England,E09000021,Kingston upon Thames,371
2020-04-20,England,E08000034,Kirklees,433
2020-04-20,England,E08000011,Knowsley,402
2020-04-20,England,E09000022,Lambeth,1026
2020-04-20,England,E10000017,Lancashire,2096
2020-04-20,England,E08000035,Leeds,930
2020-04-20,England,E06000016,Leicester,475
2020-04-20,England,E10000018,Leicestershire,707
2020-04-20,England,E09000023,Lewisham,814
2020-04-20,England,E10000019,Lincolnshire,585
2020-04-20,England,E08000012,Liverpool,1145
2020-04-20,England,E06000032,Luton,473
2020-04-20,England,E08000003,Manchester,852
2020-04-20,England,E06000035,Medway,478
2020-04-20,England,E09000024,Merton,583
2020-04-20,England,E06000002,Middlesbrough,394
2020-04-20,England,E06000042,Milton Keynes,390
2020-04-20,England,E08000021,Newcastle upon Tyne,722
2020-04-20,England,E09000025,Newham,862
2020-04-20,England,E10000020,Norfolk,997
2020-04-20,England,E06000012,North East Lincolnshire,92
2020-04-20,England,E06000013,North Lincolnshire,171
2020-04-20,England,E06000024,North Somerset,168
2020-04-20,England,E08000022,North Tyneside,378
2020-04-20,England,E10000023,North Yorkshire,629
2020-04-20,England,E10000021,Northamptonshire,882
2020-04-20,England,E06000057,Northumberland,600
2020-04-20,England,E06000018,Nottingham,386
2020-04-20,England,E10000024,Nottinghamshire,868
2020-04-20,England,E08000004,Oldham,462
2020-04-20,England,E10000025,Oxfordshire,1202
2020-04-20,England,E06000031,Peterborough,137
2020-04-20,England,E06000026,Plymouth,200
2020-04-20,England,E06000044,Portsmouth,236
2020-04-20,England,E06000038,Reading,307
2020-04-20,England,E09000026,Redbridge,597
2020-04-20,England,E06000003,Redcar and Cleveland,219
2020-04-20,England,E09000027,Richmond upon Thames,330
2020-04-20,England,E08000005,Rochdale,324
2020-04-20,England,E08000018,Rotherham,478
2020-04-20,England,E06000017,Rutland,12
2020-04-20,England,E08000006,Salford,464
2020-04-20,England,E08000028,Sandwell,758
2020-04-20,England,E08000014,Sefton,647
2020-04-20,England,E08000019,Sheffield,1631
2020-04-20,England,E06000051,Shropshire,330
2020-04-20,England,E06000039,Slough,296
2020-04-20,England,E08000029,Solihull,431
2020-04-20,England,E10000027,Somerset,361
2020-04-20,England,E06000025,South Gloucestershire,274
2020-04-20,England,E08000023,South Tyneside,357
2020-04-20,England,E06000045,Southampton,354
2020-04-20,England,E06000033,Southend-on-Sea,255
2020-04-20,England,E09000028,Southwark,1089
2020-04-20,England,E08000013,St. Helens,478
2020-04-20,England,E10000028,Staffordshire,1248
2020-04-20,England,E08000007,Stockport,640
2020-04-20,England,E06000004,Stockton-on-Tees,238
2020-04-20,England,E06000021,Stoke-on-Trent,296
2020-04-20,England,E10000029,Suffolk,656
2020-04-20,England,E08000024,Sunderland,898
2020-04-20,England,E10000030,Surrey,1961
2020-04-20,England,E09000029,Sutton,589
2020-04-20,England,E06000030,Swindon,281
2020-04-20,England,E08000008,Tameside,375
2020-04-20,England,E06000020,Telford and Wrekin,167
2020-04-20,England,E06000034,Thurrock,230
2020-04-20,England,E06000027,Torbay,129
2020-04-20,England,E09000030,Tower Hamlets,550
2020-04-20,England,E08000009,Trafford,464
2020-04-20,England,E08000036,Wakefield,404
2020-04-20,England,E08000030,Walsall,687
2020-04-20,England,E09000031,Waltham Forest,636
2020-04-20,England,E09000032,Wandsworth,845
2020-04-20,England,E06000007,Warrington,446
2020-04-20,England,E10000031,Warwickshire,842
2020-04-20,England,E06000037,West Berkshire,206
2020-04-20,England,E10000032,West Sussex,867
2020-04-20,England,E09000033,Westminster,555
2020-04-20,England,E08000010,Wigan,437
2020-04-20,England,E06000054,Wiltshire,366
2020-04-20,England,E06000040,Windsor and Maidenhead,184
2020-04-20,England,E08000015,Wirral,788
2020-04-20,England,E06000041,Wokingham,232
2020-04-20,England,E08000031,Wolverhampton,581
2020-04-20,England,E10000034,Worcestershire,887
2020-04-20,England,E06000014,York,183
