Date,Country,AreaCode,Area,TotalCases
2020-04-07,Northern Ireland,N09000001,Antrim and Newtownabbey,78
2020-04-07,Northern Ireland,N09000011,North Down and Ards,105
2020-04-07,Northern Ireland,N09000002,"Armagh, Banbridge and Craigavon",120
2020-04-07,Northern Ireland,N09000003,Belfast,396
2020-04-07,Northern Ireland,N09000004,Causeway Coast and Glens,32
2020-04-07,Northern Ireland,N09000005,Derry and Strabane,52
2020-04-07,Northern Ireland,N09000006,Fermanagh and Omagh,43
2020-04-07,Northern Ireland,N09000007,Lisburn and Castlereagh,143
2020-04-07,Northern Ireland,N09000008,Mid and East Antrim,69
2020-04-07,Northern Ireland,N09000009,Mid Ulster,42
2020-04-07,Northern Ireland,N09000010,"Newry, Mourne and Down",80
2020-04-07,Northern Ireland,,Unknown,95
