Date,Country,AreaCode,Area,TotalCases
2020-03-18,England,E09000002,Barking and Dagenham,14
2020-03-18,England,E09000003,Barnet,27
2020-03-18,England,E08000016,Barnsley,6
2020-03-18,England,E06000022,Bath and North East Somerset,3
2020-03-18,England,E06000055,Bedford,1
2020-03-18,England,E09000004,Bexley,17
2020-03-18,England,E08000025,Birmingham,25
2020-03-18,England,E06000008,Blackburn with Darwen,1
2020-03-18,England,E06000009,Blackpool,4
2020-03-18,England,E08000001,Bolton,7
2020-03-18,England,E06000058,"Bournemouth, Christchurch and Poole",7
2020-03-18,England,E06000036,Bracknell Forest,3
2020-03-18,England,E08000032,Bradford,8
2020-03-18,England,E09000005,Brent,45
2020-03-18,England,E06000043,Brighton and Hove,11
2020-03-18,England,E06000023,"Bristol, City of",12
2020-03-18,England,E09000006,Bromley,32
2020-03-18,England,E10000002,Buckinghamshire,27
2020-03-18,England,E08000002,Bury,7
2020-03-18,England,E08000033,Calderdale,3
2020-03-18,England,E10000003,Cambridgeshire,14
2020-03-18,England,E09000007,Camden,30
2020-03-18,England,E06000056,Central Bedfordshire,6
2020-03-18,England,E06000049,Cheshire East,8
2020-03-18,England,E06000050,Cheshire West and Chester,5
2020-03-18,England,E06000052,Cornwall and Isles of Scilly,10
2020-03-18,England,E06000047,County Durham,3
2020-03-18,England,E08000026,Coventry,4
2020-03-18,England,E09000008,Croydon,32
2020-03-18,England,E10000006,Cumbria,34
2020-03-18,England,E06000005,Darlington,2
2020-03-18,England,E06000015,Derby,11
2020-03-18,England,E10000007,Derbyshire,27
2020-03-18,England,E10000008,Devon,25
2020-03-18,England,E08000017,Doncaster,3
2020-03-18,England,E06000059,Dorset,5
2020-03-18,England,E08000027,Dudley,10
2020-03-18,England,E09000009,Ealing,42
2020-03-18,England,E06000011,East Riding of Yorkshire,10
2020-03-18,England,E10000011,East Sussex,8
2020-03-18,England,E09000010,Enfield,27
2020-03-18,England,E10000012,Essex,27
2020-03-18,England,E08000037,Gateshead,1
2020-03-18,England,E10000013,Gloucestershire,12
2020-03-18,England,E09000011,Greenwich,19
2020-03-18,England,E09000012,Hackney and City of London,29
2020-03-18,England,E06000006,Halton,4
2020-03-18,England,E09000013,Hammersmith and Fulham,25
2020-03-18,England,E10000014,Hampshire,77
2020-03-18,England,E09000014,Haringey,29
2020-03-18,England,E09000015,Harrow,40
2020-03-18,England,E06000001,Hartlepool,1
2020-03-18,England,E09000016,Havering,7
2020-03-18,England,E06000019,"Herefordshire, County of",3
2020-03-18,England,E10000015,Hertfordshire,50
2020-03-18,England,E09000017,Hillingdon,21
2020-03-18,England,E09000018,Hounslow,24
2020-03-18,England,E06000046,Isle of Wight,2
2020-03-18,England,E09000019,Islington,29
2020-03-18,England,E09000020,Kensington and Chelsea,55
2020-03-18,England,E10000016,Kent,21
2020-03-18,England,E06000010,"Kingston upon Hull, City of",1
2020-03-18,England,E09000021,Kingston upon Thames,7
2020-03-18,England,E08000034,Kirklees,2
2020-03-18,England,E08000011,Knowsley,1
2020-03-18,England,E09000022,Lambeth,61
2020-03-18,England,E10000017,Lancashire,15
2020-03-18,England,E08000035,Leeds,12
2020-03-18,England,E06000016,Leicester,3
2020-03-18,England,E10000018,Leicestershire,14
2020-03-18,England,E09000023,Lewisham,22
2020-03-18,England,E10000019,Lincolnshire,7
2020-03-18,England,E08000012,Liverpool,12
2020-03-18,England,E06000032,Luton,3
2020-03-18,England,E08000003,Manchester,18
2020-03-18,England,E06000035,Medway,4
2020-03-18,England,E09000024,Merton,34
2020-03-18,England,E06000002,Middlesbrough,0
2020-03-18,England,E06000042,Milton Keynes,4
2020-03-18,England,E08000021,Newcastle upon Tyne,13
2020-03-18,England,E09000025,Newham,23
2020-03-18,England,E10000020,Norfolk,4
2020-03-18,England,E06000012,North East Lincolnshire,0
2020-03-18,England,E06000013,North Lincolnshire,1
2020-03-18,England,E06000024,North Somerset,4
2020-03-18,England,E08000022,North Tyneside,7
2020-03-18,England,E10000023,North Yorkshire,11
2020-03-18,England,E10000021,Northamptonshire,15
2020-03-18,England,E06000057,Northumberland,4
2020-03-18,England,E06000018,Nottingham,14
2020-03-18,England,E10000024,Nottinghamshire,28
2020-03-18,England,E08000004,Oldham,12
2020-03-18,England,E10000025,Oxfordshire,34
2020-03-18,England,E06000031,Peterborough,2
2020-03-18,England,E06000026,Plymouth,5
2020-03-18,England,E06000044,Portsmouth,4
2020-03-18,England,E06000038,Reading,5
2020-03-18,England,E09000026,Redbridge,7
2020-03-18,England,E06000003,Redcar and Cleveland,1
2020-03-18,England,E09000027,Richmond upon Thames,7
2020-03-18,England,E08000005,Rochdale,6
2020-03-18,England,E08000018,Rotherham,4
2020-03-18,England,E06000017,Rutland,0
2020-03-18,England,E08000006,Salford,4
2020-03-18,England,E08000028,Sandwell,6
2020-03-18,England,E08000014,Sefton,4
2020-03-18,England,E08000019,Sheffield,36
2020-03-18,England,E06000051,Shropshire,3
2020-03-18,England,E06000039,Slough,13
2020-03-18,England,E08000029,Solihull,1
2020-03-18,England,E10000027,Somerset,7
2020-03-18,England,E06000025,South Gloucestershire,9
2020-03-18,England,E08000023,South Tyneside,2
2020-03-18,England,E06000045,Southampton,4
2020-03-18,England,E06000033,Southend-on-Sea,5
2020-03-18,England,E09000028,Southwark,70
2020-03-18,England,E08000013,St. Helens,2
2020-03-18,England,E10000028,Staffordshire,14
2020-03-18,England,E08000007,Stockport,10
2020-03-18,England,E06000004,Stockton-on-Tees,6
2020-03-18,England,E06000021,Stoke-on-Trent,1
2020-03-18,England,E10000029,Suffolk,10
2020-03-18,England,E08000024,Sunderland,3
2020-03-18,England,E10000030,Surrey,39
2020-03-18,England,E09000029,Sutton,12
2020-03-18,England,E06000030,Swindon,3
2020-03-18,England,E08000008,Tameside,12
2020-03-18,England,E06000020,Telford and Wrekin,0
2020-03-18,England,E06000034,Thurrock,2
2020-03-18,England,E06000027,Torbay,6
2020-03-18,England,E09000030,Tower Hamlets,25
2020-03-18,England,E08000009,Trafford,14
2020-03-18,England,E08000036,Wakefield,5
2020-03-18,England,E08000030,Walsall,14
2020-03-18,England,E09000031,Waltham Forest,14
2020-03-18,England,E09000032,Wandsworth,59
2020-03-18,England,E06000007,Warrington,4
2020-03-18,England,E10000031,Warwickshire,10
2020-03-18,England,E06000037,West Berkshire,3
2020-03-18,England,E10000032,West Sussex,10
2020-03-18,England,E09000033,Westminster,68
2020-03-18,England,E08000010,Wigan,4
2020-03-18,England,E06000054,Wiltshire,9
2020-03-18,England,E06000040,Windsor and Maidenhead,10
2020-03-18,England,E08000015,Wirral,8
2020-03-18,England,E06000041,Wokingham,10
2020-03-18,England,E08000031,Wolverhampton,22
2020-03-18,England,E10000034,Worcestershire,5
2020-03-18,England,E06000014,York,4
