Date,Country,AreaCode,Area,TotalCases
2020-03-31,Northern Ireland,N09000001,Antrim and Newtownabbey,36
2020-03-31,Northern Ireland,N09000002,"Armagh, Banbridge and Craigavon",62
2020-03-31,Northern Ireland,N09000003,Belfast,166
2020-03-31,Northern Ireland,N09000004,Causeway Coast and Glens,16
2020-03-31,Northern Ireland,N09000005,Derry and Strabane,24
2020-03-31,Northern Ireland,N09000006,Fermanagh and Omagh,29
2020-03-31,Northern Ireland,N09000007,Lisburn and Castlereagh,70
2020-03-31,Northern Ireland,N09000008,Mid and East Antrim,32
2020-03-31,Northern Ireland,N09000009,Mid Ulster,17
2020-03-31,Northern Ireland,N09000010,"Newry, Mourne and Down",44
2020-03-31,Northern Ireland,N09000011,North Down and Ards,61
2020-03-31,Northern Ireland,,Unknown,29
