Date,Country,AreaCode,Area,TotalCases
2020-04-15,Northern Ireland,N09000001,Antrim and Newtownabbey,149
2020-04-15,Northern Ireland,N09000011,North Down and Ards,154
2020-04-15,Northern Ireland,N09000002,"Armagh, Banbridge and Craigavon",220
2020-04-15,Northern Ireland,N09000003,Belfast,649
2020-04-15,Northern Ireland,N09000004,Causeway Coast and Glens,98
2020-04-15,Northern Ireland,N09000005,Derry and Strabane,133
2020-04-15,Northern Ireland,N09000006,Fermanagh and Omagh,61
2020-04-15,Northern Ireland,N09000007,Lisburn and Castlereagh,221
2020-04-15,Northern Ireland,N09000008,Mid and East Antrim,136
2020-04-15,Northern Ireland,N09000009,Mid Ulster,106
2020-04-15,Northern Ireland,N09000010,"Newry, Mourne and Down",127
2020-04-15,Northern Ireland,,Unknown,34
