Date,Country,AreaCode,Area,TotalCases
2020-04-11,England,E06000001,Hartlepool,64
2020-04-11,England,E06000002,Middlesbrough,237
2020-04-11,England,E06000003,Redcar and Cleveland,140
2020-04-11,England,E06000004,Stockton-on-Tees,177
2020-04-11,England,E06000005,Darlington,120
2020-04-11,England,E06000006,Halton,164
2020-04-11,England,E06000007,Warrington,259
2020-04-11,England,E06000008,Blackburn with Darwen,124
2020-04-11,England,E06000009,Blackpool,119
2020-04-11,England,E06000010,"Kingston upon Hull, City of",97
2020-04-11,England,E06000011,East Riding of Yorkshire,187
2020-04-11,England,E06000012,North East Lincolnshire,64
2020-04-11,England,E06000013,North Lincolnshire,91
2020-04-11,England,E06000014,York,119
2020-04-11,England,E06000015,Derby,321
2020-04-11,England,E06000016,Leicester,331
2020-04-11,England,E06000017,Rutland,9
2020-04-11,England,E06000018,Nottingham,287
2020-04-11,England,E06000019,"Herefordshire, County of",93
2020-04-11,England,E06000020,Telford and Wrekin,122
2020-04-11,England,E06000021,Stoke-on-Trent,181
2020-04-11,England,E06000022,Bath and North East Somerset,105
2020-04-11,England,E06000023,"Bristol, City of",291
2020-04-11,England,E06000024,North Somerset,106
2020-04-11,England,E06000025,South Gloucestershire,199
2020-04-11,England,E06000026,Plymouth,132
2020-04-11,England,E06000027,Torbay,87
2020-04-11,England,E06000030,Swindon,144
2020-04-11,England,E06000031,Peterborough,101
2020-04-11,England,E06000032,Luton,290
2020-04-11,England,E06000033,Southend-on-Sea,194
2020-04-11,England,E06000034,Thurrock,172
2020-04-11,England,E06000035,Medway,317
2020-04-11,England,E06000036,Bracknell Forest,103
2020-04-11,England,E06000037,West Berkshire,143
2020-04-11,England,E06000038,Reading,159
2020-04-11,England,E06000039,Slough,207
2020-04-11,England,E06000040,Windsor and Maidenhead,133
2020-04-11,England,E06000041,Wokingham,156
2020-04-11,England,E06000042,Milton Keynes,263
2020-04-11,England,E06000043,Brighton and Hove,199
2020-04-11,England,E06000044,Portsmouth,155
2020-04-11,England,E06000045,Southampton,221
2020-04-11,England,E06000046,Isle of Wight,45
2020-04-11,England,E06000047,County Durham,519
2020-04-11,England,E06000049,Cheshire East,316
2020-04-11,England,E06000050,Cheshire West and Chester,342
2020-04-11,England,E06000051,Shropshire,227
2020-04-11,England,E06000052,Cornwall and Isles of Scilly,274
2020-04-11,England,E06000054,Wiltshire,213
2020-04-11,England,E06000055,Bedford,174
2020-04-11,England,E06000056,Central Bedfordshire,227
2020-04-11,England,E06000057,Northumberland,344
2020-04-11,England,E06000058,"Bournemouth, Christchurch and Poole",184
2020-04-11,England,E06000059,Dorset,174
2020-04-11,England,E08000001,Bolton,272
2020-04-11,England,E08000002,Bury,207
2020-04-11,England,E08000003,Manchester,556
2020-04-11,England,E08000004,Oldham,296
2020-04-11,England,E08000005,Rochdale,240
2020-04-11,England,E08000006,Salford,321
2020-04-11,England,E08000007,Stockport,388
2020-04-11,England,E08000008,Tameside,241
2020-04-11,England,E08000009,Trafford,326
2020-04-11,England,E08000010,Wigan,266
2020-04-11,England,E08000011,Knowsley,248
2020-04-11,England,E08000012,Liverpool,765
2020-04-11,England,E08000013,St. Helens,330
2020-04-11,England,E08000014,Sefton,404
2020-04-11,England,E08000015,Wirral,437
2020-04-11,England,E08000016,Barnsley,297
2020-04-11,England,E08000017,Doncaster,192
2020-04-11,England,E08000018,Rotherham,321
2020-04-11,England,E08000019,Sheffield,1137
2020-04-11,England,E08000021,Newcastle upon Tyne,518
2020-04-11,England,E08000022,North Tyneside,284
2020-04-11,England,E08000023,South Tyneside,123
2020-04-11,England,E08000024,Sunderland,356
2020-04-11,England,E08000025,Birmingham,1712
2020-04-11,England,E08000026,Coventry,357
2020-04-11,England,E08000027,Dudley,403
2020-04-11,England,E08000028,Sandwell,491
2020-04-11,England,E08000029,Solihull,302
2020-04-11,England,E08000030,Walsall,478
2020-04-11,England,E08000031,Wolverhampton,410
2020-04-11,England,E08000032,Bradford,359
2020-04-11,England,E08000033,Calderdale,135
2020-04-11,England,E08000034,Kirklees,295
2020-04-11,England,E08000035,Leeds,544
2020-04-11,England,E08000036,Wakefield,274
2020-04-11,England,E08000037,Gateshead,253
2020-04-11,England,E09000002,Barking and Dagenham,291
2020-04-11,England,E09000003,Barnet,871
2020-04-11,England,E09000004,Bexley,386
2020-04-11,England,E09000005,Brent,958
2020-04-11,England,E09000006,Bromley,697
2020-04-11,England,E09000007,Camden,388
2020-04-11,England,E09000008,Croydon,893
2020-04-11,England,E09000009,Ealing,660
2020-04-11,England,E09000010,Enfield,459
2020-04-11,England,E09000011,Greenwich,443
2020-04-11,England,E09000012,Hackney and City of London,475
2020-04-11,England,E09000013,Hammersmith and Fulham,351
2020-04-11,England,E09000014,Haringey,364
2020-04-11,England,E09000015,Harrow,610
2020-04-11,England,E09000016,Havering,398
2020-04-11,England,E09000017,Hillingdon,465
2020-04-11,England,E09000018,Hounslow,439
2020-04-11,England,E09000019,Islington,300
2020-04-11,England,E09000020,Kensington and Chelsea,332
2020-04-11,England,E09000021,Kingston upon Thames,260
2020-04-11,England,E09000022,Lambeth,829
2020-04-11,England,E09000023,Lewisham,663
2020-04-11,England,E09000024,Merton,453
2020-04-11,England,E09000025,Newham,702
2020-04-11,England,E09000026,Redbridge,465
2020-04-11,England,E09000027,Richmond upon Thames,257
2020-04-11,England,E09000028,Southwark,867
2020-04-11,England,E09000029,Sutton,382
2020-04-11,England,E09000030,Tower Hamlets,452
2020-04-11,England,E09000031,Waltham Forest,488
2020-04-11,England,E09000032,Wandsworth,669
2020-04-11,England,E09000033,Westminster,454
2020-04-11,England,E10000002,Buckinghamshire,421
2020-04-11,England,E10000003,Cambridgeshire,340
2020-04-11,England,E10000006,Cumbria,1109
2020-04-11,England,E10000007,Derbyshire,653
2020-04-11,England,E10000008,Devon,324
2020-04-11,England,E10000011,East Sussex,316
2020-04-11,England,E10000012,Essex,1331
2020-04-11,England,E10000013,Gloucestershire,549
2020-04-11,England,E10000014,Hampshire,1518
2020-04-11,England,E10000015,Hertfordshire,1267
2020-04-11,England,E10000016,Kent,1374
2020-04-11,England,E10000017,Lancashire,1314
2020-04-11,England,E10000018,Leicestershire,469
2020-04-11,England,E10000019,Lincolnshire,412
2020-04-11,England,E10000020,Norfolk,539
2020-04-11,England,E10000021,Northamptonshire,656
2020-04-11,England,E10000023,North Yorkshire,410
2020-04-11,England,E10000024,Nottinghamshire,612
2020-04-11,England,E10000025,Oxfordshire,730
2020-04-11,England,E10000027,Somerset,177
2020-04-11,England,E10000028,Staffordshire,829
2020-04-11,England,E10000029,Suffolk,395
2020-04-11,England,E10000030,Surrey,1310
2020-04-11,England,E10000031,Warwickshire,554
2020-04-11,England,E10000032,West Sussex,373
2020-04-11,England,E10000034,Worcestershire,548
