Date,Country,AreaCode,Area,TotalCases
2020-04-10,Northern Ireland,N09000001,Antrim and Newtownabbey,117
2020-04-10,Northern Ireland,N09000011,North Down and Ards,129
2020-04-10,Northern Ireland,N09000002,"Armagh, Banbridge and Craigavon",157
2020-04-10,Northern Ireland,N09000003,Belfast,514
2020-04-10,Northern Ireland,N09000004,Causeway Coast and Glens,63
2020-04-10,Northern Ireland,N09000005,Derry and Strabane,77
2020-04-10,Northern Ireland,N09000006,Fermanagh and Omagh,52
2020-04-10,Northern Ireland,N09000007,Lisburn and Castlereagh,181
2020-04-10,Northern Ireland,N09000008,Mid and East Antrim,102
2020-04-10,Northern Ireland,N09000009,Mid Ulster,73
2020-04-10,Northern Ireland,N09000010,"Newry, Mourne and Down",102
2020-04-10,Northern Ireland,,Unknown,22
