Date,Country,AreaCode,Area,TotalCases
2020-03-14,Scotland,S08000015,Ayrshire and Arran,6
2020-03-14,Scotland,S08000016,Borders,5
2020-03-14,Scotland,S08000029,Fife,6
2020-03-14,Scotland,S08000019,Forth Valley,6
2020-03-14,Scotland,S08000020,Grampian,9
2020-03-14,Scotland,S08000031,Greater Glasgow and Clyde,31
2020-03-14,Scotland,S08000022,Highland,1
2020-03-14,Scotland,S08000032,Lanarkshire,10
2020-03-14,Scotland,S08000024,Lothian,25
2020-03-14,Scotland,S08000026,Shetland,11
2020-03-14,Scotland,S08000030,Tayside,11
