GSS_CD,NHSRNm,TotalCases
E40000007,East of England,  351
E40000003,London,"2,433"
E40000008,Midlands,  808
E40000009,North East and Yorkshire,  446
E40000010,North West,  496
E40000005,South East,  590
E40000006,South West,  278
