GSS_CD,NHSRNm,TotalCases
E40000007,East of England,  221
E40000003,London,"1,965"
E40000008,Midlands,  491
E40000009,North East and Yorkshire,  298
E40000010,North West,  312
E40000005,South East,  492
E40000006,South West,  216
