GSS_CD,NHSRNm,TotalCases
E40000007,East of England,  796
E40000003,London,"4,637"
E40000008,Midlands,"2,090"
E40000009,North East and Yorkshire,"1,222"
E40000010,North West,"1,020"
E40000005,South East,"1,606"
E40000006,South West,  534
