GSS_CD,NHSRNm,TotalCases
E40000007,East of England,    147
E40000003,London,"  1,221"
E40000008,Midlands,    282
E40000009,North East and Yorkshire,    194
E40000010,North West,    220
E40000005,South East,    340
E40000006,South West,    140
