GSS_CD,NHSRNm,TotalCases
E40000007,East of England,     93
E40000003,London,    621
E40000008,Midlands,    140
E40000009,North East and Yorkshire,     74
E40000010,North West,    157
E40000005,South East,    241
E40000006,South West,     95
