GSS_CD,GSS_NM,TotalCases
E09000002,Barking and Dagenham,45
E09000003,Barnet,99
E08000016,Barnsley,15
E06000022,Bath and North East Somerset,17
E06000055,Bedford,7
E09000004,Bexley,47
E08000025,Birmingham,187
E06000008,Blackburn with Darwen,2
E06000009,Blackpool,8
E08000001,Bolton,19
E06000058,"Bournemouth, Christchurch and Poole",14
E06000036,Bracknell Forest,3
E08000032,Bradford,14
E09000005,Brent,170
E06000043,Brighton and Hove,25
E06000023,"Bristol, City of",37
E09000006,Bromley,93
E10000002,Buckinghamshire,50
E08000002,Bury,17
E08000033,Calderdale,7
E10000003,Cambridgeshire,37
E09000007,Camden,64
E06000056,Central Bedfordshire,22
E06000049,Cheshire East,25
E06000050,Cheshire West and Chester,18
E06000052,Cornwall and Isles of Scilly,30
E06000047,County Durham,18
E08000026,Coventry,24
E09000008,Croydon,128
E10000006,Cumbria,129
E06000005,Darlington,3
E06000015,Derby,37
E10000007,Derbyshire,101
E10000008,Devon,48
E08000017,Doncaster,13
E06000059,Dorset,15
E08000027,Dudley,40
E09000009,Ealing,123
E06000011,East Riding of Yorkshire,16
E10000011,East Sussex,21
E09000010,Enfield,84
E10000012,Essex,80
E08000037,Gateshead,5
E10000013,Gloucestershire,49
E09000011,Greenwich,77
E09000012,Hackney and City of London,74
E06000006,Halton,8
E09000013,Hammersmith and Fulham,70
E10000014,Hampshire,207
E09000014,Haringey,72
E09000015,Harrow,134
E06000001,Hartlepool,3
E09000016,Havering,44
E06000019,"Herefordshire, County of",15
E10000015,Hertfordshire,139
E09000017,Hillingdon,85
E09000018,Hounslow,82
E06000046,Isle of Wight,3
E09000019,Islington,66
E09000020,Kensington and Chelsea,91
E10000016,Kent,72
E06000010,"Kingston upon Hull, City of",1
E09000021,Kingston upon Thames,36
E08000034,Kirklees,17
E08000011,Knowsley,8
E09000022,Lambeth,188
E10000017,Lancashire,71
E08000035,Leeds,42
E06000016,Leicester,24
E10000018,Leicestershire,65
E09000023,Lewisham,97
E10000019,Lincolnshire,24
E08000012,Liverpool,41
E06000032,Luton,19
E08000003,Manchester,41
E06000035,Medway,19
E09000024,Merton,84
E06000002,Middlesbrough,7
E06000042,Milton Keynes,25
E08000021,Newcastle upon Tyne,49
E09000025,Newham,76
E10000020,Norfolk,42
E06000012,North East Lincolnshire,3
E06000013,North Lincolnshire,5
E06000024,North Somerset,21
E08000022,North Tyneside,20
E10000023,North Yorkshire,30
E10000021,Northamptonshire,37
E06000057,Northumberland,13
E06000018,Nottingham,49
E10000024,Nottinghamshire,78
E08000004,Oldham,34
E10000025,Oxfordshire,69
E06000031,Peterborough,6
E06000026,Plymouth,16
E06000044,Portsmouth,29
E06000038,Reading,8
E09000026,Redbridge,57
E06000003,Redcar and Cleveland,7
E09000027,Richmond upon Thames,36
E08000005,Rochdale,24
E08000018,Rotherham,16
E06000017,Rutland,0
E08000006,Salford,31
E08000028,Sandwell,47
E08000014,Sefton,13
E08000019,Sheffield,130
E06000051,Shropshire,27
E06000039,Slough,22
E08000029,Solihull,12
E10000027,Somerset,21
E06000025,South Gloucestershire,19
E08000023,South Tyneside,8
E06000045,Southampton,24
E06000033,Southend-on-Sea,8
E09000028,Southwark,181
E08000013,St. Helens,8
E10000028,Staffordshire,76
E08000007,Stockport,42
E06000004,Stockton-on-Tees,12
E06000021,Stoke-on-Trent,9
E10000029,Suffolk,28
E08000024,Sunderland,20
E10000030,Surrey,110
E09000029,Sutton,40
E06000030,Swindon,7
E08000008,Tameside,32
E06000020,Telford and Wrekin,9
E06000034,Thurrock,15
E06000027,Torbay,17
E09000030,Tower Hamlets,70
E08000009,Trafford,31
E08000036,Wakefield,13
E08000030,Walsall,43
E09000031,Waltham Forest,61
E09000032,Wandsworth,155
E06000007,Warrington,8
E10000031,Warwickshire,52
E06000037,West Berkshire,12
E10000032,West Sussex,52
E09000033,Westminster,143
E08000010,Wigan,11
E06000054,Wiltshire,34
E06000040,Windsor and Maidenhead,13
E08000015,Wirral,15
E06000041,Wokingham,13
E08000031,Wolverhampton,81
E10000034,Worcestershire,38
E06000014,York,11
