GSS_CD,NHSRNm,TotalCases
E40000007,East of England,  274
E40000003,London,"2,189"
E40000008,Midlands,  624
E40000009,North East and Yorkshire,  368
E40000010,North West,  390
E40000005,South East,  536
E40000006,South West,  242
