GSS_CD,GSS_NM,TotalCases
E06000001,Hartlepool, 15
E06000002,Middlesbrough, 59
E06000003,Redcar and Cleveland, 51
E06000004,Stockton-on-Tees, 60
E06000005,Darlington, 24
E06000006,Halton, 32
E06000007,Warrington, 40
E06000008,Blackburn with Darwen, 25
E06000009,Blackpool, 27
E06000010,"Kingston upon Hull, City of", 14
E06000011,East Riding of Yorkshire, 46
E06000012,North East Lincolnshire, 23
E06000013,North Lincolnshire, 23
E06000014,York, 35
E06000015,Derby,143
E06000016,Leicester,101
E06000017,Rutland,  4
E06000018,Nottingham,120
E06000019,"Herefordshire, County of", 40
E06000020,Telford and Wrekin, 48
E06000021,Stoke-on-Trent, 55
E06000022,Bath and North East Somerset, 45
E06000023,"Bristol, City of",117
E06000024,North Somerset, 42
E06000025,South Gloucestershire, 76
E06000026,Plymouth, 56
E06000027,Torbay, 42
E06000030,Swindon, 31
E06000031,Peterborough, 36
E06000032,Luton, 91
E06000033,Southend-on-Sea, 44
E06000034,Thurrock, 62
E06000035,Medway, 98
E06000036,Bracknell Forest, 35
E06000037,West Berkshire, 63
E06000038,Reading, 66
E06000039,Slough,115
E06000040,Windsor and Maidenhead, 75
E06000041,Wokingham, 67
E06000042,Milton Keynes,117
E06000043,Brighton and Hove, 49
E06000044,Portsmouth, 79
E06000045,Southampton,100
E06000046,Isle of Wight, 14
E06000047,County Durham,131
E06000049,Cheshire East, 76
E06000050,Cheshire West and Chester, 65
E06000051,Shropshire,102
E06000052,Cornwall and Isles of Scilly, 99
E06000054,Wiltshire, 93
E06000055,Bedford, 60
E06000056,Central Bedfordshire, 81
E06000057,Northumberland, 92
E06000058,"Bournemouth, Christchurch and Poole", 58
E06000059,Dorset, 62
E08000001,Bolton, 51
E08000002,Bury, 75
E08000003,Manchester,155
E08000004,Oldham,114
E08000005,Rochdale, 94
E08000006,Salford,129
E08000007,Stockport,107
E08000008,Tameside, 77
E08000009,Trafford,104
E08000010,Wigan, 67
E08000011,Knowsley, 53
E08000012,Liverpool,262
E08000013,St. Helens, 72
E08000014,Sefton, 86
E08000015,Wirral, 83
E08000016,Barnsley,122
E08000017,Doncaster, 79
E08000018,Rotherham,107
E08000019,Sheffield,541
E08000021,Newcastle upon Tyne,225
E08000022,North Tyneside, 87
E08000023,South Tyneside, 44
E08000024,Sunderland,109
E08000025,Birmingham,734
E08000026,Coventry,127
E08000027,Dudley,157
E08000028,Sandwell,186
E08000029,Solihull,126
E08000030,Walsall,198
E08000031,Wolverhampton,208
E08000032,Bradford, 95
E08000033,Calderdale, 54
E08000034,Kirklees,101
E08000035,Leeds,192
E08000036,Wakefield, 79
E08000037,Gateshead, 80
E09000002,Barking and Dagenham,130
E09000003,Barnet,468
E09000004,Bexley,147
E09000005,Brent,506
E09000006,Bromley,321
E09000007,Camden,212
E09000008,Croydon,380
E09000009,Ealing,350
E09000010,Enfield,240
E09000011,Greenwich,205
E09000012,Hackney and City of London,221
E09000013,Hammersmith and Fulham,177
E09000014,Haringey,194
E09000015,Harrow,347
E09000016,Havering,133
E09000017,Hillingdon,222
E09000018,Hounslow,214
E09000019,Islington,174
E09000020,Kensington and Chelsea,191
E09000021,Kingston upon Thames,108
E09000022,Lambeth,462
E09000023,Lewisham,285
E09000024,Merton,208
E09000025,Newham,330
E09000026,Redbridge,196
E09000027,Richmond upon Thames,142
E09000028,Southwark,474
E09000029,Sutton,142
E09000030,Tower Hamlets,241
E09000031,Waltham Forest,260
E09000032,Wandsworth,360
E09000033,Westminster,301
E10000002,Buckinghamshire,195
E10000003,Cambridgeshire,141
E10000006,Cumbria,425
E10000007,Derbyshire,307
E10000008,Devon,128
E10000011,East Sussex, 84
E10000012,Essex,420
E10000013,Gloucestershire,172
E10000014,Hampshire,652
E10000015,Hertfordshire,480
E10000016,Kent,455
E10000017,Lancashire,368
E10000018,Leicestershire,187
E10000019,Lincolnshire,133
E10000020,Norfolk,180
E10000021,Northamptonshire,187
E10000023,North Yorkshire,149
E10000024,Nottinghamshire,275
E10000025,Oxfordshire,234
E10000027,Somerset, 63
E10000028,Staffordshire,329
E10000029,Suffolk,125
E10000030,Surrey,571
E10000031,Warwickshire,190
E10000032,West Sussex,160
E10000034,Worcestershire,201
