GSS_CD,NHSRNm,TotalCases
E40000007,East of England,    128
E40000003,London,    953
E40000008,Midlands,    234
E40000009,North East and Yorkshire,    168
E40000010,North West,    180
E40000005,South East,    285
E40000006,South West,    117
