GSS_CD,NHSRNm,TotalCases
E40000007,East of England,429
E40000003,London,2872
E40000008,Midlands,1074
E40000009,North East and Yorkshire,542
E40000010,North West,593
E40000005,South East,751
E40000006,South West,345
